word,meaning,category
abandon,버리다,verb
abate,줄이다,verb
abnormal,비정상적인,adjective
abolish,폐지하다,verb
abrupt,갑작스러운,adjective
absurd,터무니없는,adjective
abundant,풍부한,adjective
access,접근,noun
accommodate,수용하다,verb
accompany,동반하다,verb
accumulate,축적하다,verb
accuse,비난하다,verb
achieve,성취하다,verb
acknowledge,인정하다,verb
acquire,획득하다,verb
adapt,적응하다,verb
adequate,적절한,adjective
adjacent,인접한,adjective
adjust,조정하다,verb
assess,평가하다,verb
assiduous,근면한,adjective
assimilate,동화하다,verb
assume,가정하다,verb
astute,빈틈없는,adjective
attain,달성하다,verb
augment,증가시키다,verb
authentic,진정한,adjective
authoritarian,권위주의의,adjective
authoritative,권위 있는,adjective
autonomous,자율적인,adjective
avail,이용하다,verb
avert,피하다,verb
banal,진부한,adjective
barren,불모의,adjective
benevolent,자비로운,adjective
bias,편견,noun
bizarre,기이한,adjective
bolster,지지하다,verb
brittle,깨지기 쉬운,adjective
candid,솔직한,adjective
capable,능력 있는,adjective
capacity,능력,noun
capitulate,항복하다,verb
catalyst,촉매,noun
censure,비난하다,verb
challenge,도전,noun
chaotic,혼란스러운,adjective
circumvent,우회하다,verb
cite,인용하다,verb
clandestine,비밀의,adjective
coerce,강요하다,verb
coherent,일관된,adjective
coincide,일치하다,verb
collaborate,협력하다,verb
collide,충돌하다,verb
commence,시작하다,verb
commend,칭찬하다,verb
compact,압축된,adjective
compatible,호환되는,adjective
compensate,보상하다,verb
complacent,안주하는,adjective
complement,보완하다,verb
comprehensive,포괄적인,adjective
comprise,포함하다,verb
compulsory,의무적인,adjective
concede,인정하다,verb
concise,간결한,adjective
concrete,구체적인,adjective
concur,동의하다,verb
condone,묵인하다,verb
conducive,도움이 되는,adjective
confine,제한하다,verb
conflict,갈등,noun
conform,따르다,verb
consensus,합의,noun
conserve,보존하다,verb
considerable,상당한,adjective
consist,구성되다,verb
consolidate,통합하다,verb
conspicuous,눈에 띄는,adjective
constituent,구성 요소,noun
constrain,제한하다,verb
contaminate,오염시키다,verb
contemplate,심사숙고하다,verb
contemporary,현대의,adjective
contend,주장하다,verb
contradict,모순되다,verb
contrary,반대의,adjective
