word,meaning,category  
compute,계산하다,verb  
observe,관찰하다,verb  
hypothesize,가정하다,verb  
derive,유도하다,verb  
solve,해결하다,verb  
measure,측정하다,verb  
classify,분류하다,verb  
expand,확장하다,verb  
contract,축소하다,verb  
transform,변형하다,verb  
equation,방정식,noun  
variable,변수,noun  
hypothesis,가설,noun  
theory,이론,noun  
phenomenon,현상,noun  
data,데이터,noun  
structure,구조,noun  
function,함수,noun  
resource,자원,noun  
trend,경향,noun  
precise,정확한,adjective  
abstract,추상적인,adjective  
dynamic,역동적인,adjective  
static,정적인,adjective  
efficient,효율적인,adjective  
diverse,다양한,adjective  
sustainable,지속 가능한,adjective  
global,글로벌한,adjective  
local,지역적인,adjective  
virtual,가상의,adjective  
accurately,정확하게,adverb  
systematically,체계적으로,adverb  
theoretically,이론적으로,adverb  
empirically,경험적으로,adverb  
gradually,점진적으로,adverb  
rapidly,급속히,adverb  
independently,독립적으로,adverb  
collectively,집단적으로,adverb  
environmentally,환경적으로,adverb  
economically,경제적으로,adverb  
in accordance with,~에 따라,phrase  
with reference to,~을 참고하여,phrase  
on the premise of,~을 전제로,phrase  
in conjunction with,~와 연계하여,phrase  
for the sake of clarity,명확성을 위해,phrase  
simulate,모의 실험하다,verb  
synthesize,합성하다,verb  
regulate,규제하다,verb  
innovate,혁신하다,verb  
allocate,할당하다,verb  
diversify,다양화하다,verb  
integrate,통합하다,verb  
optimize,최적화하다,verb  
sustain,유지하다,verb  
depict,묘사하다,verb  
economy,경제,noun  
policy,정책,noun  
culture,문화,noun  
ethics,윤리,noun  
democracy,민주주의,noun  
bias,편견,noun  
innovation,혁신,noun  
sustainability,지속 가능성,noun  
globalization,세계화,noun  
infrastructure,인프라,noun  
ethical,윤리적인,adjective  
biased,편향된,adjective  
democratic,민주적인,adjective  
innovative,혁신적인,adjective  
flexible,유연한,adjective  
rigid,경직된,adjective  
transparent,투명한,adjective  
obsolete,구식의,adjective  
redundant,중복된,adjective  
scalable,확장 가능한,adjective  
ethically,윤리적으로,adverb  
flexibly,유연하게,adverb  
transparently,투명하게,adverb  
redundantly,중복되게,adverb  
scalably,확장 가능하게,adverb  
democratically,민주적으로,adverb  
globally,세계적으로,adverb  
locally,지역적으로,adverb  
virtually,가상으로,adverb  
efficiently,효율적으로,adverb  
in light of recent events,최근 사건을 고려하여,phrase  
under the assumption that,~라는 가정 하에,phrase  
with the exception of,~을 제외하고,phrase  
for the purpose of analysis,분석을 목적으로,phrase  
in the realm of possibility,가능성의 영역에서,phrase  
quantify,정량화하다,verb  
correlate,상관관계를 짓다,verb  
